UF;ENTE;NR CRP;DATA DE EMISSÃO;DATA DE VALIDADE;CRP JUDICIAL;TIPO DE REGIME;SITUAÇÃO DO CRP
PB;Santa Rita;982175-186288;31/05/2020;27/11/2020;SIM;RPPS;VÁLIDO
PB;Santa Teresinha;982177-184332;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PB;Santana de Mangueira;982171-93715;19/02/2011;18/08/2011;NÃO;RGPS;VENCIDO
PB;Santana dos Garrotes;982173-185217;22/04/2020;19/10/2020;NÃO;RGPS;VÁLIDO
PB;Santarém;980514-187027;24/06/2020;21/12/2020;NÃO;RGPS;VÁLIDO
PB;Santo André;980516-186279;30/05/2020;26/11/2020;NÃO;RGPS;VÁLIDO
PB;São Bentinho;980518-186844;17/06/2020;14/12/2020;NÃO;RGPS;VÁLIDO
PB;São Bento;982179-187875;04/08/2020;31/01/2021;SIM;RPPS;VÁLIDO
PB;São Domingos (antigo São Domingos de Pombal);980522-184334;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PB;São Domingos do Cariri;980520-185117;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
PB;São Francisco;980524-185257;22/04/2020;19/10/2020;NÃO;RGPS;VÁLIDO
PB;São João do Cariri;982181-188087;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
PB;São João do Rio do Peixe;981913-186664;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
PB;São João do Tigre;982183-184166;29/03/2020;25/09/2020;NÃO;RGPS;VÁLIDO
PB;São José da Lagoa Tapada;982185-187193;03/07/2020;30/12/2020;SIM;RPPS;VÁLIDO
PB;São José de Caiana;982187-184249;30/03/2020;26/09/2020;NÃO;RGPS;VÁLIDO
PB;São José de Espinharas;982189-184421;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PB;São José de Piranhas;982191-187214;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
PB;São José de Princesa;980528-187984;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
PB;São José do Bonfim;982193-185951;19/05/2020;15/11/2020;NÃO;RGPS;VÁLIDO
PB;São José do Brejo do Cruz;980530-184182;29/03/2020;25/09/2020;NÃO;RGPS;VÁLIDO
PB;São José do Sabugi;982195-185492;02/05/2020;29/10/2020;NÃO;RGPS;VÁLIDO
PB;São José dos Cordeiros;982197-187176;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
PB;São José dos Ramos;980526-188069;07/08/2020;03/02/2021;SIM;RPPS;VÁLIDO
PB;São Mamede;982199-184244;30/03/2020;26/09/2020;NÃO;RGPS;VÁLIDO
PB;São Miguel de Taipu;982201-188240;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
PB;São Sebastião de Lagoa de Roça;982203-185608;05/05/2020;01/11/2020;SIM;RPPS;VÁLIDO
PB;São Sebastião do Umbuzeiro;982205-185015;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
PB;Sapé;982207-186094;24/05/2020;20/11/2020;NÃO;RPPS;VÁLIDO
PB;Seridó;982209-184953;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
PB;Serra Branca;982211-175896;30/05/2019;26/11/2019;NÃO;RPPS;VENCIDO
PB;Serra da Raiz;982213-184945;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
PB;Serra Grande;982215-187287;07/07/2020;03/01/2021;NÃO;RGPS;VÁLIDO
PB;Serra Redonda;982217-184736;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PB;Serraria;982219-186163;26/05/2020;22/11/2020;NÃO;RGPS;VÁLIDO
PB;Sertãozinho;980532-183739;08/03/2020;04/09/2020;SIM;RPPS;VENCIDO
PB;Sobrado;980534-184948;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
PB;Solânea;982221-186985;24/06/2020;21/12/2020;NÃO;RGPS;VÁLIDO
PB;Soledade;982223-183747;08/03/2020;04/09/2020;SIM;RPPS;VENCIDO
PB;Sossêgo;980536-184540;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
PB;Sousa;982225-187134;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
PB;Sumé;982227-188479;20/08/2020;16/02/2021;SIM;RPPS;VÁLIDO
PB;Taperoá;982231-186698;15/06/2020;12/12/2020;SIM;RPPS;VÁLIDO
PB;Tavares;982233-188206;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
PB;Teixeira;982235-183981;16/03/2020;12/09/2020;NÃO;RGPS;VENCIDO
PB;Tenório;980538-188297;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
PB;Triunfo;982237-187233;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
PB;Uiraúna;982239-188282;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
PB;Umbuzeiro;982241-184058;23/03/2020;19/09/2020;NÃO;RGPS;VÁLIDO
PB;Várzea;982243-185266;22/04/2020;19/10/2020;NÃO;RGPS;VÁLIDO
PB;Vieirópolis;980540-185717;13/05/2020;09/11/2020;NÃO;RGPS;VÁLIDO
PB;Vista Serrana;982011-186028;21/05/2020;17/11/2020;NÃO;RGPS;VÁLIDO
PB;Zabelê;980542-183779;10/03/2020;06/09/2020;NÃO;RGPS;VENCIDO
PE;Abreu e Lima;982631-186105;25/05/2020;21/11/2020;NÃO;RGPS;VÁLIDO
PE;Afogados da Ingazeira;982301-185277;22/04/2020;19/10/2020;SIM;RPPS;VÁLIDO
PE;Afrânio;982303-187634;22/07/2020;18/01/2021;SIM;RPPS;VÁLIDO
PE;Agrestina;982305-185981;19/05/2020;15/11/2020;SIM;RPPS;VÁLIDO
PE;Água Preta;982307-185210;22/04/2020;19/10/2020;SIM;RPPS;VÁLIDO
PE;Águas Belas;982309-188348;18/08/2020;14/02/2021;SIM;RPPS;VÁLIDO
PE;Alagoinha;982311-186364;02/06/2020;29/11/2020;SIM;RPPS;VÁLIDO
PE;Aliança;982313-186921;23/06/2020;20/12/2020;SIM;RPPS;VÁLIDO
PE;Altinho;982315-187016;24/06/2020;21/12/2020;SIM;RPPS;VÁLIDO
PE;Amaraji;982317-186250;28/05/2020;24/11/2020;SIM;RPPS;VÁLIDO
PE;Angelim;982319-186072;22/05/2020;18/11/2020;SIM;RPPS;VÁLIDO
PE;Araçoiaba;980544-185867;17/05/2020;13/11/2020;SIM;RPPS;VÁLIDO
PE;Araripina;982321-187947;07/08/2020;03/02/2021;SIM;RPPS;VÁLIDO
PE;Arcoverde;982323-186086;23/05/2020;19/11/2020;NÃO;RPPS;VÁLIDO
PE;Barra de Guabiraba;982325-188564;28/08/2020;24/02/2021;SIM;RPPS;VÁLIDO
PE;Barreiros;982327-187644;22/07/2020;18/01/2021;SIM;RPPS;VÁLIDO
PE;Belém de Maria;982329-185887;18/05/2020;14/11/2020;NÃO;RGPS;VÁLIDO
PE;Belém de São Francisco;982331-185514;04/05/2020;31/10/2020;SIM;RPPS;VÁLIDO
PE;Belo Jardim;982333-185633;06/05/2020;02/11/2020;SIM;RPPS;VÁLIDO
PE;Betânia;982335-187448;11/07/2020;07/01/2021;SIM;RPPS;VÁLIDO
PE;Bezerros;982337-186619;13/06/2020;10/12/2020;SIM;RPPS;VÁLIDO
PE;Bodocó;982339-188682;30/08/2020;26/02/2021;SIM;RPPS;VÁLIDO
PE;Bom Conselho;982341-183867;12/03/2020;08/09/2020;SIM;RPPS;VENCIDO
PE;Bom Jardim;982343-186548;10/06/2020;07/12/2020;NÃO;RPPS;VÁLIDO
PE;Bonito;982345-186999;24/06/2020;21/12/2020;SIM;RPPS;VÁLIDO
PE;Brejão;982347-186846;17/06/2020;14/12/2020;SIM;RPPS;VÁLIDO
PE;Brejinho;982349-183004;10/02/2020;08/08/2020;NÃO;RPPS;VENCIDO
PE;Brejo da Madre de Deus;982351-186391;02/06/2020;29/11/2020;SIM;RPPS;VÁLIDO
PE;Buenos Aires;982353-185946;19/05/2020;15/11/2020;SIM;RPPS;VÁLIDO
PE;Buíque;982355-187147;03/07/2020;30/12/2020;SIM;RPPS;VÁLIDO
PE;Cabo de Santo Agostinho;982357-187800;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
PE;Cabrobó;982359-186484;04/06/2020;01/12/2020;SIM;RPPS;VÁLIDO
PE;Cachoeirinha;982361-186753;16/06/2020;13/12/2020;NÃO;RPPS;VÁLIDO
PE;Caetés;982363-180916;21/11/2019;19/05/2020;NÃO;RPPS;VENCIDO
PE;Calçado;982365-184003;17/03/2020;13/09/2020;NÃO;RPPS;VENCIDO
PE;Calumbi;982367-186822;17/06/2020;14/12/2020;SIM;RPPS;VÁLIDO
PE;Camaragibe;982629-185613;06/05/2020;02/11/2020;NÃO;RPPS;VÁLIDO
PE;Camocim de São Félix;982369-188054;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
PE;Camutanga;982371-188026;07/08/2020;03/02/2021;SIM;RPPS;VÁLIDO
PE;Canhotinho;982373-59399;24/03/2008;20/09/2008;NÃO;RPPS;VENCIDO
PE;Capoeiras;982375-182720;03/02/2020;01/08/2020;NÃO;RPPS;VENCIDO
PE;Carnaíba;982377-183684;05/03/2020;01/09/2020;NÃO;RGPS;VENCIDO
PE;Carnaubeira da Penha;982635-160137;11/11/2017;10/05/2018;NÃO;RPPS;VENCIDO
PE;Carpina;982379-184757;01/04/2020;28/09/2020;SIM;RPPS;VÁLIDO
PE;Caruaru;982381-186070;22/05/2020;18/11/2020;SIM;RPPS;VÁLIDO
PE;Casinhas;980546-185351;25/04/2020;22/10/2020;SIM;RPPS;VÁLIDO
PE;Catende;982383-185528;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
PE;Cedro;982385-186662;13/06/2020;10/12/2020;SIM;RPPS;VÁLIDO
PE;Chã de Alegria;982387-185016;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
PE;Chã Grande;982389-185903;18/05/2020;14/11/2020;SIM;RPPS;VÁLIDO
PE;Condado;982391-184930;12/04/2020;09/10/2020;SIM;RPPS;VÁLIDO
PE;Correntes;982393-184008;18/03/2020;14/09/2020;SIM;RPPS;VENCIDO
PE;Cortês;982395-185304;23/04/2020;20/10/2020;SIM;RPPS;VÁLIDO
