UF;ENTE;NR CRP;DATA DE EMISSÃO;DATA DE VALIDADE;CRP JUDICIAL;TIPO DE REGIME;SITUAÇÃO DO CRP
AC;Acrelândia;980643-185126;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
AC;Assis Brasil;980157-186981;24/06/2020;21/12/2020;NÃO;RGPS;VÁLIDO
AC;Brasiléia;980105-185377;28/04/2020;25/10/2020;NÃO;RGPS;VÁLIDO
AC;Bujari;980645-188197;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Capixaba;980647-188445;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
AC;Cruzeiro do Sul;980107-187340;07/07/2020;03/01/2021;NÃO;RGPS;VÁLIDO
AC;Epitaciolândia;980651-188251;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Feijó;980113-188437;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
AC;Governo do Estado do Acre;931001-185475;30/04/2020;27/10/2020;SIM;RPPS;VÁLIDO
AC;Jordão;980653-188273;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Mâncio Lima;980109-188691;30/08/2020;26/02/2021;NÃO;RGPS;VÁLIDO
AC;Manoel Urbano;980155-186461;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AC;Marechal Thaumaturgo;980655-187170;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AC;Plácido de Castro;980151-185818;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AC;Porto Acre;980649-188196;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Porto Walter;980657-188185;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Rio Branco;980139-185330;23/04/2020;20/10/2020;NÃO;RPPS;VÁLIDO
AC;Rodrigues Alves;980659-185628;06/05/2020;02/11/2020;NÃO;RGPS;VÁLIDO
AC;Santa Rosa do Purus;980661-185560;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
AC;Sena Madureira;980145-186280;30/05/2020;26/11/2020;NÃO;RGPS;VÁLIDO
AC;Senador Guiomard;980153-188289;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Tarauacá;980147-188252;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
AC;Xapuri;980149-184212;29/03/2020;25/09/2020;NÃO;RGPS;VÁLIDO
AL;Água Branca;982701-187223;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AL;Anadia;982703-188525;24/08/2020;20/02/2021;NÃO;RGPS;VÁLIDO
AL;Arapiraca;982705-187383;09/07/2020;05/01/2021;NÃO;RPPS;VÁLIDO
AL;Atalaia;982707-112197;18/03/2013;14/09/2013;NÃO;RPPS;VENCIDO
AL;Barra de Santo Antônio;982709-186655;13/06/2020;10/12/2020;SIM;RPPS;VÁLIDO
AL;Barra de São Miguel;982711-186431;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AL;Batalha;982713-11816;29/11/2002;28/05/2003;NÃO;RPPS;VENCIDO
AL;Belém;982715-12097;06/12/2002;04/06/2003;NÃO;RPPS;VENCIDO
AL;Belo Monte;982717-161236;21/12/2017;19/06/2018;SIM;RPPS;VENCIDO
AL;Boca da Mata;982719-131651;28/04/2015;25/10/2015;NÃO;RPPS;VENCIDO
AL;Branquinha;982721-186620;13/06/2020;10/12/2020;SIM;RPPS;VÁLIDO
AL;Cacimbinhas;982723-184059;23/03/2020;19/09/2020;SIM;RPPS;VÁLIDO
AL;Cajueiro;982725-186273;30/05/2020;26/11/2020;SIM;RPPS;VÁLIDO
AL;Campestre;980560-187780;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
AL;Campo Alegre;982727-120302;04/02/2014;03/08/2014;NÃO;RPPS;VENCIDO
AL;Campo Grande;982729-18148;18/08/2003;14/02/2004;NÃO;RGPS;VENCIDO
AL;Canapi;982731-185517;04/05/2020;31/10/2020;SIM;RPPS;VÁLIDO
AL;Capela;982733-185848;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AL;Carneiros;982735-187773;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
AL;Chã Preta;982737-104396;30/03/2012;26/09/2012;NÃO;RPPS;VENCIDO
AL;Coité do Nóia;982739-184876;06/04/2020;03/10/2020;SIM;RPPS;VÁLIDO
AL;Colônia Leopoldina;982741-187633;21/07/2020;17/01/2021;SIM;RPPS;VÁLIDO
AL;Coqueiro Seco;982743-158520;20/09/2017;19/03/2018;NÃO;RPPS;VENCIDO
AL;Coruripe;982745-183489;01/03/2020;28/08/2020;NÃO;RPPS;VENCIDO
AL;Craíbas;982889-81458;20/11/2009;19/05/2010;NÃO;RPPS;VENCIDO
AL;Delmiro Gouveia;982747-188614;29/08/2020;25/02/2021;NÃO;RGPS;VÁLIDO
AL;Dois Riachos;982749-184600;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AL;Estrela de Alagoas;982643-186845;17/06/2020;14/12/2020;NÃO;RGPS;VÁLIDO
AL;Feira Grande;982751-186345;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AL;Feliz Deserto;982753-187217;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AL;Flexeiras;982755-117640;25/10/2013;23/04/2014;NÃO;RPPS;VENCIDO
AL;Girau do Ponciano;982757-184190;29/03/2020;25/09/2020;SIM;RPPS;VÁLIDO
AL;Governo do Estado de Alagoas;947001-187906;05/08/2020;01/02/2021;SIM;RPPS;VÁLIDO
AL;Ibateguara;982759-186915;23/06/2020;20/12/2020;NÃO;RGPS;VÁLIDO
AL;Igaci;982761-148026;27/10/2016;25/04/2017;NÃO;RPPS;VENCIDO
AL;Igreja Nova;982763-186733;15/06/2020;12/12/2020;NÃO;RGPS;VÁLIDO
AL;Inhapi;982765-188328;17/08/2020;13/02/2021;SIM;RPPS;VÁLIDO
AL;Jacaré dos Homens;982767-184472;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AL;Jacuípe;982769-186838;17/06/2020;14/12/2020;SIM;RPPS;VÁLIDO
AL;Japaratinga;982771-184053;23/03/2020;19/09/2020;SIM;RPPS;VÁLIDO
AL;Jaramataia;982773-184065;23/03/2020;19/09/2020;SIM;RPPS;VÁLIDO
AL;Jequiá da Praia;980562-187802;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
AL;Joaquim Gomes;982775-184543;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AL;Jundiá;982777-185050;14/04/2020;11/10/2020;SIM;RPPS;VÁLIDO
AL;Junqueiro;982779-76508;22/04/2009;19/10/2009;NÃO;RPPS;VENCIDO
AL;Lagoa da Canoa;982781-185136;17/04/2020;14/10/2020;SIM;RPPS;VÁLIDO
AL;Limoeiro de Anadia;982783-185794;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AL;Maceió;982785-187112;02/07/2020;29/12/2020;SIM;RPPS;VÁLIDO
AL;Major Izidoro;982787-184193;29/03/2020;25/09/2020;NÃO;RPPS;VÁLIDO
AL;Mar Vermelho;982797-97599;25/07/2011;21/01/2012;NÃO;RPPS;VENCIDO
AL;Maragogi;982789-187357;07/07/2020;03/01/2021;SIM;RPPS;VÁLIDO
AL;Maravilha;982791-187859;02/08/2020;29/01/2021;SIM;RPPS;VÁLIDO
AL;Marechal Deodoro;982793-188158;12/08/2020;08/02/2021;SIM;RPPS;VÁLIDO
AL;Maribondo;982795-106162;28/06/2012;25/12/2012;NÃO;RPPS;VENCIDO
AL;Mata Grande;982799-92834;19/01/2011;18/07/2011;NÃO;RPPS;VENCIDO
AL;Matriz de Camaragibe;982801-186034;21/05/2020;17/11/2020;SIM;RPPS;VÁLIDO
AL;Messias;982803-180277;29/10/2019;26/04/2020;NÃO;RPPS;VENCIDO
AL;Minador do Negrão;982805-185501;02/05/2020;29/10/2020;SIM;RPPS;VÁLIDO
AL;Monteirópolis;982807-105539;30/05/2012;26/11/2012;NÃO;RPPS;VENCIDO
AL;Murici;982809-184891;08/04/2020;05/10/2020;SIM;RPPS;VÁLIDO
AL;Novo Lino;982811-81907;22/12/2009;20/06/2010;NÃO;RPPS;VENCIDO
AL;Olho d'Água das Flores;982813-177471;30/07/2019;26/01/2020;NÃO;RPPS;VENCIDO
AL;Olho d'Água do Casado;982815-183631;04/03/2020;31/08/2020;NÃO;RGPS;VENCIDO
AL;Olho d'Água Grande;982817-185101;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
AL;Olivença;982819-112925;18/04/2013;15/10/2013;NÃO;RPPS;VENCIDO
AL;Ouro Branco;982821-187261;06/07/2020;02/01/2021;SIM;RPPS;VÁLIDO
AL;Palestina;982823-16321;01/06/2003;28/11/2003;NÃO;RPPS;VENCIDO
AL;Palmeira dos Índios;982825-187058;26/06/2020;23/12/2020;SIM;RPPS;VÁLIDO
AL;Pão de Açúcar;982827-187453;12/07/2020;08/01/2021;SIM;RPPS;VÁLIDO
AL;Pariconha;982645-187205;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AL;Paripueira;982641-186221;26/05/2020;22/11/2020;NÃO;RGPS;VÁLIDO
AL;Passo de Camaragibe;982829-185603;05/05/2020;01/11/2020;SIM;RPPS;VÁLIDO
AL;Paulo Jacinto;982831-187167;03/07/2020;30/12/2020;SIM;RPPS;VÁLIDO
AL;Penedo;982833-161996;19/01/2018;18/07/2018;NÃO;RPPS;VENCIDO
AL;Piaçabuçu;982835-188079;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
AL;Pilar;982837-184772;02/04/2020;29/09/2020;SIM;RPPS;VÁLIDO
AL;Pindoba;982839-126163;29/09/2014;28/03/2015;NÃO;RPPS;VENCIDO
AL;Piranhas;982841-175327;10/05/2019;06/11/2019;NÃO;RPPS;VENCIDO
AL;Poço das Trincheiras;982843-161948;17/01/2018;16/07/2018;NÃO;RPPS;VENCIDO
AL;Porto Calvo;982845-186125;26/05/2020;22/11/2020;SIM;RPPS;VÁLIDO
AL;Porto de Pedras;982847-187099;01/07/2020;28/12/2020;SIM;RPPS;VÁLIDO
AL;Porto Real do Colégio;982849-185904;18/05/2020;14/11/2020;NÃO;RGPS;VÁLIDO
AL;Quebrangulo;982851-122957;23/05/2014;19/11/2014;NÃO;RPPS;VENCIDO
AL;Rio Largo;982853-184175;29/03/2020;25/09/2020;NÃO;RGPS;VÁLIDO
AL;Roteiro;982855-185589;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
AL;Santa Luzia do Norte;982857-188254;15/08/2020;11/02/2021;SIM;RPPS;VÁLIDO
AL;Santana do Ipanema;982859-183771;10/03/2020;06/09/2020;NÃO;RGPS;VENCIDO
AL;Santana do Mundaú;982861-188319;15/08/2020;11/02/2021;SIM;RPPS;VÁLIDO
AL;São Brás;982863-186423;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AL;São José da Laje;982865-183312;21/02/2020;19/08/2020;SIM;RPPS;VENCIDO
AL;São José da Tapera;982867-106215;02/07/2012;29/12/2012;NÃO;RPPS;VENCIDO
AL;São Luiz do Quitunde;982869-187410;09/07/2020;05/01/2021;SIM;RPPS;VÁLIDO
AL;São Miguel dos Campos;982871-185874;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AL;São Miguel dos Milagres;982873-162733;19/02/2018;18/08/2018;SIM;RPPS;VENCIDO
AL;São Sebastião;982875-81891;21/12/2009;19/06/2010;NÃO;RPPS;VENCIDO
AL;Satuba;982877-184453;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AL;Senador Rui Palmeira;982891-107968;12/09/2012;11/03/2013;NÃO;RPPS;VENCIDO
AL;Tanque d'Arca;982879-185317;23/04/2020;20/10/2020;SIM;RPPS;VÁLIDO
AL;Taquarana;982881-188524;24/08/2020;20/02/2021;SIM;RPPS;VÁLIDO
AL;Teotônio Vilela;980971-78518;12/08/2009;08/02/2010;NÃO;RPPS;VENCIDO
AL;Traipu;982883-188029;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
AL;União dos Palmares;982885-184302;31/03/2020;27/09/2020;NÃO;RGPS;VÁLIDO
AL;Viçosa;982887-187972;07/08/2020;03/02/2021;SIM;RPPS;VÁLIDO
AM;Alvarães;980289-183912;13/03/2020;09/09/2020;NÃO;RGPS;VENCIDO
AM;Amaturá;980291-184700;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AM;Anamã;980293-184625;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AM;Anori;980203-186415;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AM;Apuí;980969-184856;03/04/2020;30/09/2020;NÃO;RGPS;VÁLIDO
AM;Atalaia do Norte;980205-183701;05/03/2020;01/09/2020;NÃO;RGPS;VENCIDO
AM;Autazes;980207-183876;12/03/2020;08/09/2020;NÃO;RGPS;VENCIDO
AM;Barcelos;980209-188122;08/08/2020;04/02/2021;SIM;RPPS;VÁLIDO
AM;Barreirinha;980211-184063;23/03/2020;19/09/2020;SIM;RPPS;VÁLIDO
AM;Benjamin Constant;980213-183856;12/03/2020;08/09/2020;SIM;RPPS;VENCIDO
AM;Beruri;980295-156197;18/06/2017;15/12/2017;SIM;RPPS;VENCIDO
AM;Boa Vista do Ramos;980297-186413;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AM;Boca do Acre;980215-184331;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AM;Borba;980217-188126;08/08/2020;04/02/2021;SIM;RPPS;VÁLIDO
AM;Caapiranga;980299-188569;28/08/2020;24/02/2021;SIM;RPPS;VÁLIDO
AM;Canutama;980219-187028;24/06/2020;21/12/2020;SIM;RPPS;VÁLIDO
AM;Carauari;980221-186083;23/05/2020;19/11/2020;SIM;RPPS;VÁLIDO
AM;Careiro;980223-187828;30/07/2020;26/01/2021;NÃO;RGPS;VÁLIDO
AM;Careiro da Várzea;980965-184647;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AM;Coari;980225-185595;05/05/2020;01/11/2020;SIM;RPPS;VÁLIDO
AM;Codajás;980227-184553;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AM;Eirunepé;980229-183847;12/03/2020;08/09/2020;NÃO;RGPS;VENCIDO
AM;Envira;980231-181175;02/12/2019;30/05/2020;SIM;RPPS;VENCIDO
AM;Fonte Boa;980233-186434;02/06/2020;29/11/2020;SIM;RPPS;VÁLIDO
AM;Governo do Estado do Amazonas;933001-187109;02/07/2020;29/12/2020;NÃO;RPPS;VÁLIDO
AM;Guajará;980967-188711;30/08/2020;26/02/2021;NÃO;RGPS;VÁLIDO
AM;Humaitá;980235-170482;21/11/2018;20/05/2019;NÃO;RPPS;VENCIDO
AM;Ipixuna;980239-183910;13/03/2020;09/09/2020;NÃO;RGPS;VENCIDO
AM;Iranduba;989835-186792;17/06/2020;14/12/2020;SIM;RPPS;VÁLIDO
AM;Itacoatiara;980241-187141;03/07/2020;30/12/2020;SIM;RPPS;VÁLIDO
AM;Itamarati;989837-185984;19/05/2020;15/11/2020;NÃO;RGPS;VÁLIDO
AM;Itapiranga;980243-183898;13/03/2020;09/09/2020;NÃO;RGPS;VENCIDO
AM;Japurá;980245-186605;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
AM;Juruá;980247-186988;24/06/2020;21/12/2020;NÃO;RGPS;VÁLIDO
AM;Jutaí;980249-184743;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
AM;Lábrea;980251-184795;03/04/2020;30/09/2020;SIM;RPPS;VÁLIDO
AM;Manacapuru;980253-185141;17/04/2020;14/10/2020;SIM;RPPS;VÁLIDO
AM;Manaquiri;989839-186306;31/05/2020;27/11/2020;SIM;RPPS;VÁLIDO
AM;Manaus;980255-185658;07/05/2020;03/11/2020;NÃO;RPPS;VÁLIDO
AM;Manicoré;980257-186905;23/06/2020;20/12/2020;SIM;RPPS;VÁLIDO
AM;Maraã;980259-185502;02/05/2020;29/10/2020;SIM;RPPS;VÁLIDO
AM;Maués;980261-187813;30/07/2020;26/01/2021;SIM;RPPS;VÁLIDO
AM;Nhamundá;980263-184143;27/03/2020;23/09/2020;SIM;RPPS;VÁLIDO
AM;Nova Olinda do Norte;980265-187393;09/07/2020;05/01/2021;NÃO;RGPS;VÁLIDO
AM;Novo Airão;980201-187942;07/08/2020;03/02/2021;SIM;RGPS;VÁLIDO
AM;Novo Aripuanã;980267-185269;22/04/2020;19/10/2020;SIM;RGPS;VÁLIDO
AM;Parintins;980269-186134;26/05/2020;22/11/2020;NÃO;RGPS;VÁLIDO
AM;Pauini;980271-186367;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AM;Presidente Figueiredo;989841-187829;31/07/2020;27/01/2021;NÃO;RPPS;VÁLIDO
AM;Rio Preto da Eva;989843-186857;18/06/2020;15/12/2020;SIM;RPPS;VÁLIDO
AM;Santa Isabel do Rio Negro;980237-186808;17/06/2020;14/12/2020;SIM;RGPS;VÁLIDO
AM;Santo Antônio do Içá;980273-183851;12/03/2020;08/09/2020;SIM;RGPS;VENCIDO
AM;São Gabriel da Cachoeira;980283-185154;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
AM;São Paulo de Olivença;980275-187857;02/08/2020;29/01/2021;NÃO;RGPS;VÁLIDO
AM;São Sebastião do Uatumã;989845-186456;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AM;Silves;980277-186438;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AM;Tabatinga;989847-188584;28/08/2020;24/02/2021;SIM;RPPS;VÁLIDO
AM;Tapauá;980279-183764;10/03/2020;06/09/2020;NÃO;RGPS;VENCIDO
AM;Tefé;980281-187189;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AM;Tonantins;989851-187065;27/06/2020;24/12/2020;NÃO;RGPS;VÁLIDO
AM;Uarini;989849-188485;20/08/2020;16/02/2021;NÃO;RGPS;VÁLIDO
AM;Urucará;980285-187801;29/07/2020;25/01/2021;SIM;RPPS;VÁLIDO
AM;Urucurituba;980287-184170;29/03/2020;25/09/2020;NÃO;RGPS;VÁLIDO
AP;Amapá;980601-185825;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AP;Calçoene;980603-185850;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
AP;Cutias;980667-187504;17/07/2020;13/01/2021;NÃO;RGPS;VÁLIDO
AP;Ferreira Gomes;980611-185127;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
AP;Governo do Estado do Amapá;932001-188165;14/08/2020;10/02/2021;SIM;RPPS;VÁLIDO
AP;Itaubal;980669-94108;01/03/2011;28/08/2011;NÃO;RGPS;VENCIDO
AP;Laranjal do Jari;980613-187225;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
AP;Macapá;980605-186109;26/05/2020;22/11/2020;SIM;RPPS;VÁLIDO
AP;Mazagão;980607-135741;14/10/2015;11/04/2016;NÃO;RPPS;VENCIDO
AP;Oiapoque;980609-184265;30/03/2020;26/09/2020;NÃO;RGPS;VÁLIDO
AP;Pedra Branca do Amaparí (antigo Amaparí);980663-185889;18/05/2020;14/11/2020;NÃO;RGPS;VÁLIDO
AP;Porto Grande;980671-185588;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
AP;Pracuúba;980673-186463;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
AP;Santana;980615-187450;12/07/2020;08/01/2021;SIM;RPPS;VÁLIDO
AP;Serra do Navio;980665-186723;15/06/2020;12/12/2020;NÃO;RGPS;VÁLIDO
AP;Tartarugalzinho;980617-187593;17/07/2020;13/01/2021;NÃO;RGPS;VÁLIDO
AP;Vitória do Jari;980070-184605;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Abaíra;983301-185575;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
BA;Abaré;983303-184639;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Acajutiba;983305-187298;07/07/2020;03/01/2021;NÃO;RGPS;VÁLIDO
BA;Adustina;983253-187977;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
BA;Água Fria;983307-184591;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Aiquara;983311-185424;29/04/2020;26/10/2020;NÃO;RGPS;VÁLIDO
BA;Alagoinhas;983313-184954;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
BA;Alcobaça;983315-187219;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
BA;Almadina;983317-186632;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
BA;Amargosa;983319-185088;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
BA;Amélia Rodrigues;983321-188228;15/08/2020;11/02/2021;NÃO;RGPS;VÁLIDO
BA;América Dourada;983071-184068;23/03/2020;19/09/2020;NÃO;RGPS;VÁLIDO
BA;Anagé;983323-188083;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
BA;Andaraí;983325-185529;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
BA;Andorinha;983255-188626;29/08/2020;25/02/2021;NÃO;RGPS;VÁLIDO
BA;Angical;983327-187300;07/07/2020;03/01/2021;NÃO;RGPS;VÁLIDO
BA;Anguera;983329-184762;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Antas;983331-183770;10/03/2020;06/09/2020;NÃO;RGPS;VENCIDO
BA;Antônio Cardoso;983333-186630;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
BA;Antônio Gonçalves;983335-13329;20/01/2003;19/07/2003;NÃO;RPPS;VENCIDO
BA;Aporá;983337-183772;10/03/2020;06/09/2020;NÃO;RGPS;VENCIDO
BA;Apuarema;983257-186054;21/05/2020;17/11/2020;NÃO;RGPS;VÁLIDO
BA;Araças;983259-186659;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
BA;Aracatu;983339-185198;22/04/2020;19/10/2020;NÃO;RGPS;VÁLIDO
BA;Araci;983341-186267;30/05/2020;26/11/2020;NÃO;RGPS;VÁLIDO
BA;Aramari;983343-183695;05/03/2020;01/09/2020;NÃO;RGPS;VENCIDO
BA;Arataca;983073-184967;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
BA;Aratuípe;983345-188112;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
BA;Aurelino Leal;983347-183765;10/03/2020;06/09/2020;NÃO;RGPS;VENCIDO
BA;Baianópolis;983349-188415;19/08/2020;15/02/2021;NÃO;RGPS;VÁLIDO
BA;Baixa Grande;983351-187968;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
BA;Banzaê;983261-188347;18/08/2020;14/02/2021;NÃO;RGPS;VÁLIDO
BA;Barra;983353-187445;11/07/2020;07/01/2021;NÃO;RGPS;VÁLIDO
BA;Barra da Estiva;983355-187524;17/07/2020;13/01/2021;NÃO;RGPS;VÁLIDO
BA;Barra do Choça;983357-183852;12/03/2020;08/09/2020;NÃO;RGPS;VENCIDO
BA;Barra do Mendes;983359-185557;05/05/2020;01/11/2020;NÃO;RGPS;VÁLIDO
BA;Barra do Rocha;983361-184851;03/04/2020;30/09/2020;NÃO;RGPS;VÁLIDO
BA;Barreiras;983363-187503;17/07/2020;13/01/2021;NÃO;RGPS;VÁLIDO
BA;Barro Alto;983075-187358;07/07/2020;03/01/2021;NÃO;RGPS;VÁLIDO
BA;Barro Preto (antigo Governador Lomanto Júnior);983365-186670;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
BA;Barrocas;981110-184662;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Belmonte;983367-184561;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Belo Campo;983369-187950;07/08/2020;03/02/2021;NÃO;RGPS;VÁLIDO
BA;Biritinga;983371-187567;17/07/2020;13/01/2021;NÃO;RGPS;VÁLIDO
BA;Boa Nova;983373-184819;03/04/2020;30/09/2020;NÃO;RGPS;VÁLIDO
BA;Boa Vista do Tupim;983375-186378;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
BA;Bom Jesus da Lapa;983377-187174;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
BA;Bom Jesus da Serra;983263-185975;19/05/2020;15/11/2020;NÃO;RGPS;VÁLIDO
BA;Boninal;983379-183682;05/03/2020;01/09/2020;NÃO;RGPS;VENCIDO
BA;Bonito;983265-168606;19/09/2018;18/03/2019;NÃO;RPPS;VENCIDO
BA;Boquira;983381-183934;16/03/2020;12/09/2020;NÃO;RGPS;VENCIDO
BA;Botuporã;983383-185029;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
BA;Brejões;983385-184307;31/03/2020;27/09/2020;NÃO;RGPS;VÁLIDO
BA;Brejolândia;983387-185085;17/04/2020;14/10/2020;NÃO;RGPS;VÁLIDO
BA;Brotas de Macaúbas;983389-187920;06/08/2020;02/02/2021;NÃO;RGPS;VÁLIDO
BA;Brumado;983391-183816;11/03/2020;07/09/2020;NÃO;RPPS;VENCIDO
BA;Buerarema;983393-184709;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Buritirama;983079-185412;29/04/2020;26/10/2020;NÃO;RGPS;VÁLIDO
BA;Caatiba;983395-184826;03/04/2020;30/09/2020;NÃO;RGPS;VÁLIDO
BA;Cabaceiras do Paraguaçu;983267-185830;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
BA;Cachoeira;983397-186588;13/06/2020;10/12/2020;NÃO;RGPS;VÁLIDO
BA;Caculé;983399-177870;13/08/2019;09/02/2020;NÃO;RGPS;VENCIDO
BA;Caém;983401-186399;02/06/2020;29/11/2020;NÃO;RGPS;VÁLIDO
BA;Caetanos;983269-184538;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Caetité;983403-188668;29/08/2020;25/02/2021;NÃO;RGPS;VÁLIDO
BA;Cafarnaum;983405-185456;29/04/2020;26/10/2020;NÃO;RGPS;VÁLIDO
BA;Cairu;983407-185262;22/04/2020;19/10/2020;NÃO;RGPS;VÁLIDO
BA;Caldeirão Grande;983409-186648;13/06/2020;10/12/2020;SIM;RPPS;VÁLIDO
BA;Camacan;983411-185838;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
BA;Camaçari;983413-185071;16/04/2020;13/10/2020;SIM;RPPS;VÁLIDO
BA;Camamu;983415-184726;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Campo Alegre de Lourdes;983417-184498;01/04/2020;28/09/2020;NÃO;RGPS;VÁLIDO
BA;Campo Formoso;983419-124708;30/07/2014;26/01/2015;NÃO;RPPS;VENCIDO
BA;Canápolis;983421-184208;29/03/2020;25/09/2020;NÃO;RGPS;VÁLIDO
BA;Canarana;983423-184827;03/04/2020;30/09/2020;NÃO;RGPS;VÁLIDO
BA;Canavieiras;983425-187154;03/07/2020;30/12/2020;NÃO;RGPS;VÁLIDO
BA;Candeal;983427-187258;06/07/2020;02/01/2021;NÃO;RGPS;VÁLIDO
BA;Candeias;983429-184962;12/04/2020;09/10/2020;NÃO;RGPS;VÁLIDO
BA;Candiba;983431-183740;08/03/2020;04/09/2020;NÃO;RGPS;VENCIDO
BA;Cândido Sales;983433-185833;17/05/2020;13/11/2020;NÃO;RGPS;VÁLIDO
BA;Cansanção;983435-183710;05/03/2020;01/09/2020;NÃO;RGPS;VENCIDO
BA;Canudos;983085-186833;17/06/2020;14/12/2020;NÃO;RGPS;VÁLIDO
BA;Capela do Alto Alegre;983081-185819;17/05/2020;13/11/2020;SIM;RPPS;VÁLIDO
